es.max.ATE,es.max.ATE.1,es.max.ATE.2
0.933240405,0.054500292,0.009450712
0.790686069,0.066399537,0.099761164
0.936521219,0.04451591,0.01110865
0.92810573,0.075036721,0.01110865
0.936521219,0.04451591,0.01110865
0.936521219,0.04451591,0.01110865
0.930369654,0.032304437,0.024968432
0.119171193,0.727429884,0.318712034
0.936521219,0.04451591,0.01110865
0.925780493,0.032509571,0.030913454
0.925780493,0.032509571,0.030913454
0.936521219,0.04451591,0.01110865
0.652991502,0.280838003,0.027941075
0.843367364,0.079162579,0.016127395
0.935260804,0.04157257,0.01110865
0.9266913,0.053482529,0.01110865
0.652224243,0.195281068,0.143636907
0.925780493,0.032509571,0.030913454
0.935260804,0.04157257,0.01110865
0.935260804,0.04157257,0.01110865
0.936521219,0.04451591,0.01110865
0.935260804,0.04157257,0.01110865
0.892785982,0.060238431,0.0406856
0.936521219,0.04451591,0.01110865
0.925780493,0.032509571,0.030913454
0.935260804,0.04157257,0.01110865
0.501049518,0.224991652,0.266773015
0.936521219,0.04451591,0.01110865
0.936521219,0.04451591,0.01110865
0.9266913,0.053482529,0.01110865
0.936521219,0.04451591,0.01110865
0.935260804,0.04157257,0.01110865
0.933240405,0.054500292,0.009450712
0.933240405,0.054500292,0.009450712
0.783669306,0.232724207,0.016127395
0.935260804,0.04157257,0.01110865
0.935260804,0.04157257,0.01110865
0.936521219,0.04451591,0.01110865
0.935260804,0.04157257,0.01110865
0.9266913,0.053482529,0.01110865
0.936521219,0.04451591,0.01110865
0.936521219,0.04451591,0.01110865
0.935260804,0.04157257,0.01110865
0.925780493,0.032509571,0.030913454
0.836492484,0.117369042,0.024849633
0.925780493,0.032509571,0.030913454
0.935260804,0.04157257,0.01110865
0.92810573,0.075036721,0.01110865
0.935260804,0.04157257,0.01110865
0.935260804,0.04157257,0.01110865
0.68800355,0.109410189,0.189982717
0.925780493,0.032509571,0.030913454
0.934506308,0.073103337,0.009450712
0.911908004,0.171561874,0.01110865
0.92810573,0.075036721,0.01110865
0.501049518,0.224991652,0.266773015
0.930369654,0.032304437,0.024968432
